level,concept,mean_act_cosine
1,BEVERAGE,0.8546062395686195
1,BUILDING,0.7154141718610412
1,CLOTHES,0.749297939595722
1,CONTAINER,0.8512249149027324
1,EMOTION,0.8027343962873731
1,FOOD,0.7354546444756644
1,FURNITURE,0.8131126704670134
1,INSECT,0.8980795826230731
1,MAMMAL,0.9682588009607225
1,PLANT,0.6178959987702823
1,TECHNOLOGY,0.8196986828531537
1,TOOL,0.7928728518031892
1,TOY,0.865874707698822
1,VEHICLE,0.8963633718944731
1,WEAPON,0.7148418639387403
2,BEVERAGE,0.8462907473246256
2,BUILDING,0.8219527545429411
2,CLOTHES,0.9480368353071666
2,CONTAINER,0.8217610234305972
2,EMOTION,0.9223843216896057
2,FOOD,0.7825666155133929
2,FURNITURE,0.9228090842564901
2,INSECT,0.8965196581113906
2,MAMMAL,0.9096526617095584
2,PLANT,0.7704821612153735
2,TECHNOLOGY,0.8276247793719882
2,TOOL,0.7621163938726697
2,TOY,0.8685690334865025
2,VEHICLE,0.6877496377343223
2,WEAPON,0.5897164646580461
3,BEVERAGE,0.817376754113606
3,BUILDING,0.9634331748599098
3,CLOTHES,0.8783350984255472
3,CONTAINER,0.9418423544792902
3,EMOTION,0.9790087313879103
3,FOOD,0.8880947941825503
3,FURNITURE,0.8842386631738572
3,INSECT,0.938068151473999
3,MAMMAL,0.6637971685046241
3,PLANT,0.8779567622003102
3,TECHNOLOGY,0.8692667427517119
3,TOOL,0.9557660619417826
3,TOY,0.9404719074567159
3,VEHICLE,0.9315554215794518
3,WEAPON,0.8285246377899533
